,#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign
7300,MLAT,2019-12-21 15:06:00.798840,2019.12.21 15:06:00.798840,7300,15,6,0,37.45462954,126.4612788,-76,55,2.850439,232.125016,4312,AAR286,54360,1012,1956.5,-873.0,-2.25,-1.75,----,----,----,116,101,71BC19,----
7319,MLAT,2019-12-21 15:06:01.536696,2019.12.21 15:06:01.536696,7319,15,6,1,37.45461881,126.46125197,-76,----,2.358495,237.994617,4312,AAR286,54361,1012,1954.0,-874.5,-2.0,-1.25,----,----,----,116,101,71BC19,----
7338,MLAT,2019-12-21 15:06:02.798840,2019.12.21 15:06:02.798840,7338,15,6,2,37.45458663,126.46120906,-76,55,3.201562,231.340192,4312,AAR286,54362,1012,1950.0,-878.0,-2.5,-2.0,----,----,----,116,101,71BC19,----
7357,MLAT,2019-12-21 15:06:03.798840,2019.12.21 15:06:03.798840,7357,15,6,3,37.45456517,126.46117687,-76,51,3.010399,228.366461,4312,AAR286,54363,1012,1947.0,-880.5,-2.25,-2.0,----,----,----,116,101,71BC19,----
7376,MLAT,2019-12-21 15:06:04.274552,2019.12.21 15:06:04.274552,7376,15,6,4,37.45454371,126.46113932,-76,49,3.400368,233.972627,4312,AAR286,54364,1012,1944.0,-882.5,-2.75,-2.0,----,----,----,116,101,71BC19,----
7395,MLAT,2019-12-21 15:06:05.274552,2019.12.21 15:06:05.274552,7395,15,6,5,37.45452762,126.46109104,-76,51,4.031129,240.255119,4312,AAR286,54365,1012,1940.0,-885.0,-3.5,-2.0,----,----,----,116,101,71BC19,----
7414,MLAT,2019-12-21 15:06:06.798840,2019.12.21 15:06:06.798840,7414,15,6,6,37.45451689,126.46105349,-76,62,3.807887,246.801409,4312,AAR286,54366,1012,1936.5,-886.0,-3.5,-1.5,----,----,----,116,101,71BC19,----
7433,MLAT,2019-12-21 15:06:07.798840,2019.12.21 15:06:07.798840,7433,15,6,7,37.45449007,126.46101058,-76,66,4.25,241.927513,4312,AAR286,54367,1012,1932.5,-888.5,-3.75,-2.0,----,----,----,116,101,71BC19,----
7452,MLAT,2019-12-21 15:06:08.536696,2019.12.21 15:06:08.536696,7452,15,6,8,37.45449007,126.46097839,-76,----,3.482097,248.962489,4312,AAR286,54368,1012,1930.0,-888.5,-3.25,-1.25,----,----,----,116,101,71BC19,----
7471,MLAT,2019-12-21 15:06:09.536696,2019.12.21 15:06:09.536696,7471,15,6,9,37.45447934,126.4609462,-76,----,3.579455,245.224859,4312,AAR286,54369,1012,1927.0,-890.0,-3.25,-1.5,----,----,----,116,101,71BC19,----
7490,MLAT,2019-12-21 15:06:10.536696,2019.12.21 15:06:10.536696,7490,15,6,10,37.45446861,126.46091402,-76,----,3.354102,243.434949,4312,AAR286,54370,1012,1924.5,-891.0,-3.0,-1.5,----,----,----,116,101,71BC19,----
7509,MLAT,2019-12-21 15:06:11.798840,2019.12.21 15:06:11.798840,7509,15,6,11,37.45445251,126.4608711,-76,87,4.031129,240.255119,4312,AAR286,54371,1012,1920.5,-893.0,-3.5,-2.0,----,----,----,116,101,71BC19,----
7528,MLAT,2019-12-21 15:06:12.798840,2019.12.21 15:06:12.798840,7528,15,6,12,37.45444715,126.46083891,-76,89,3.400368,252.897271,4312,AAR286,54372,1012,1917.5,-893.5,-3.25,-1.0,----,----,----,116,101,71BC19,----
7547,MLAT,2019-12-21 15:06:13.798840,2019.12.21 15:06:13.798840,7547,15,6,13,37.45446861,126.46080673,-76,87,3.041381,279.462322,4312,AAR286,54373,1012,1914.5,-891.5,-3.0,0.5,----,----,----,116,101,71BC19,----
7566,MLAT,2019-12-21 15:06:14.798840,2019.12.21 15:06:14.798840,7566,15,6,14,37.45445788,126.46076918,-76,83,3.041381,260.537678,4312,AAR286,54374,1012,1911.0,-892.5,-3.0,-0.5,----,----,----,116,101,71BC19,----
7585,MLAT,2019-12-21 15:06:15.798840,2019.12.21 15:06:15.798840,7585,15,6,15,37.45445788,126.46074772,-76,89,2.5,270.0,4312,AAR286,54375,1012,1909.5,-892.5,-2.5,-0.0,----,----,----,116,101,71BC19,----
7604,MLAT,2019-12-21 15:06:16.274552,2019.12.21 15:06:16.274552,7604,15,6,16,37.45446324,126.4607209,-76,87,2.263846,276.340192,4312,AAR286,54376,1012,1907.5,-892.0,-2.25,0.25,----,----,----,116,101,71BC19,----
7623,MLAT,2019-12-21 15:06:16.422584,2019.12.21 15:06:16.422584,7623,15,6,16,37.45446861,126.46066725,-76,----,3.758324,273.814075,4312,AAR286,54376,1012,1902.5,-891.5,-3.75,0.25,----,----,----,116,101,71BC19,----
7642,MLAT,2019-12-21 15:06:17.684728,2019.12.21 15:06:17.684728,7642,15,6,17,37.45449007,126.46065652,-76,78,2.358495,302.005383,4312,AAR286,54377,1012,1901.5,-889.0,-2.0,1.25,----,----,----,116,101,71BC19,----
7661,MLAT,2019-12-21 15:06:18.422584,2019.12.21 15:06:18.422584,7661,15,6,18,37.45449543,126.46063507,-76,----,2.236068,296.565051,4312,AAR286,54378,1012,1899.5,-888.0,-2.0,1.0,----,----,----,116,101,71BC19,----
7680,MLAT,2019-12-21 15:06:19.684728,2019.12.21 15:06:19.684728,7680,15,6,19,37.45451152,126.46062434,-76,76,2.150581,305.537678,4312,AAR286,54379,1012,1898.5,-886.5,-1.75,1.25,----,----,----,116,101,71BC19,----
7699,MLAT,2019-12-21 15:06:20.684728,2019.12.21 15:06:20.684728,7699,15,6,20,37.45451152,126.46059215,-76,156,2.462214,293.962489,4312,AAR286,54380,1012,1896.0,-886.5,-2.25,1.0,----,----,----,116,101,71BC19,----
7718,MLAT,2019-12-21 15:06:21.422584,2019.12.21 15:06:21.422584,7718,15,6,21,37.45452225,126.46056533,-76,----,2.610077,286.699244,4312,AAR286,54381,1012,1893.5,-885.5,-2.5,0.75,----,----,----,116,101,71BC19,----
7737,MLAT,2019-12-21 15:06:22.422584,2019.12.21 15:06:22.422584,7737,15,6,22,37.45454371,126.4605546,-76,----,2.150581,305.537678,4312,AAR286,54382,1012,1892.5,-883.0,-1.75,1.25,----,----,----,116,101,71BC19,----
7756,MLAT,2019-12-21 15:06:23.422584,2019.12.21 15:06:23.422584,7756,15,6,23,37.45455444,126.46054387,-76,----,1.414214,315.0,4312,AAR286,54383,1012,1891.5,-882.0,-1.0,1.0,----,----,----,116,101,71BC19,----
7775,MLAT,2019-12-21 15:06:24.684728,2019.12.21 15:06:24.684728,7775,15,6,24,37.45456517,126.46053314,-76,125,1.600781,321.340192,4312,AAR286,54384,1012,1890.5,-880.5,-1.0,1.25,----,----,----,116,101,71BC19,----
7794,MLAT,2019-12-21 15:06:25.422584,2019.12.21 15:06:25.422584,7794,15,6,25,37.45458126,126.46051168,-76,----,2.150581,305.537678,4312,AAR286,54385,1012,1888.5,-878.5,-1.75,1.25,----,----,----,116,101,71BC19,----
7813,MLAT,2019-12-21 15:06:26.684728,2019.12.21 15:06:26.684728,7813,15,6,26,37.45460808,126.46049023,-76,100,2.5,323.130102,4312,AAR286,54386,1012,1887.0,-876.0,-1.5,2.0,----,----,----,116,101,71BC19,----
7832,MLAT,2019-12-21 15:06:27.422584,2019.12.21 15:06:27.422584,7832,15,6,27,37.45461881,126.46047413,-76,----,2.304886,310.601295,4312,AAR286,54387,1012,1885.0,-874.5,-1.75,1.5,----,----,----,116,101,71BC19,----
7851,MLAT,2019-12-21 15:06:28.684728,2019.12.21 15:06:28.684728,7851,15,6,28,37.45462954,126.46045804,-76,91,2.150581,305.537678,4312,AAR286,54388,1012,1884.0,-873.5,-1.75,1.25,----,----,----,116,101,71BC19,----
7870,MLAT,2019-12-21 15:06:29.684728,2019.12.21 15:06:29.684728,7870,15,6,29,37.45464563,126.46044731,-76,93,2.236068,333.434949,4312,AAR286,54389,1012,1883.0,-872.0,-1.0,2.0,----,----,----,116,101,71BC19,----
7889,MLAT,2019-12-21 15:06:30.422584,2019.12.21 15:06:30.422584,7889,15,6,30,37.45466173,126.46043122,-76,----,2.358495,327.994617,4312,AAR286,54390,1012,1881.5,-870.0,-1.25,2.0,----,----,----,116,101,71BC19,----
7908,MLAT,2019-12-21 15:06:31.684728,2019.12.21 15:06:31.684728,7908,15,6,31,37.45466709,126.46043658,-76,89,1.346291,338.198591,4312,AAR286,54391,1012,1882.0,-869.5,-0.5,1.25,----,----,----,116,101,71BC19,----
7927,MLAT,2019-12-21 15:06:32.684728,2019.12.21 15:06:32.684728,7927,15,6,32,37.45468318,126.46042585,-76,89,1.581139,341.565051,4312,AAR286,54392,1012,1881.0,-867.5,-0.5,1.5,----,----,----,116,101,71BC19,----
7946,MLAT,2019-12-21 15:06:33.684728,2019.12.21 15:06:33.684728,7946,15,6,33,37.45469391,126.46042585,-76,85,2.0,0.0,4312,AAR286,54393,1012,1881.0,-866.0,0.0,2.0,----,----,----,116,101,71BC19,----
7965,MLAT,2019-12-21 15:06:34.684728,2019.12.21 15:06:34.684728,7965,15,6,34,37.45470464,126.46040976,-76,83,1.600781,321.340192,4312,AAR286,54394,1012,1879.5,-865.0,-1.0,1.25,----,----,----,116,101,71BC19,----
7984,MLAT,2019-12-21 15:06:36.012408,2019.12.21 15:06:36.012408,7984,15,6,36,37.45471001,126.46039903,-76,----,1.25,323.130102,4312,AAR286,54396,1012,1878.5,-864.5,-0.75,1.0,----,----,----,116,101,71BC19,----
8003,MLAT,2019-12-21 15:06:37.012408,2019.12.21 15:06:37.012408,8003,15,6,37,37.45473146,126.46039367,-76,----,1.581139,341.565051,4312,AAR286,54397,1012,1878.0,-862.0,-0.5,1.5,----,----,----,116,101,71BC19,----
8022,MLAT,2019-12-21 15:06:38.274552,2019.12.21 15:06:38.274552,8022,15,6,38,37.45473683,126.4603883,-76,89,1.274755,348.690068,4312,AAR286,54398,1012,1878.0,-861.0,-0.25,1.25,----,----,----,116,101,71BC19,----
8041,MLAT,2019-12-21 15:06:39.274552,2019.12.21 15:06:39.274552,8041,15,6,39,37.45474756,126.46038294,-76,85,1.346291,338.198591,4312,AAR286,54399,1012,1877.5,-860.0,-0.5,1.25,----,----,----,116,101,71BC19,----
8060,MLAT,2019-12-21 15:06:40.274552,2019.12.21 15:06:40.274552,8060,15,6,40,37.45475829,126.46036685,-76,70,1.414214,315.0,4312,AAR286,54400,1012,1876.0,-859.0,-1.0,1.0,----,----,----,116,101,71BC19,----
8079,MLAT,2019-12-21 15:06:41.274552,2019.12.21 15:06:41.274552,8079,15,6,41,37.45475292,126.46035612,-76,72,1.030776,284.036243,4312,AAR286,54401,1012,1875.0,-859.5,-1.0,0.25,----,----,----,116,101,71BC19,----
8098,MLAT,2019-12-21 15:06:42.012408,2019.12.21 15:06:42.012408,8098,15,6,42,37.45475829,126.46037757,-76,----,0.559017,26.565051,4312,AAR286,54402,1012,1876.5,-859.0,0.25,0.5,----,----,----,116,101,71BC19,----
8117,MLAT,2019-12-21 15:06:43.274552,2019.12.21 15:06:43.274552,8117,15,6,43,37.45478511,126.46036685,-76,80,1.767767,8.130102,4312,AAR286,54403,1012,1876.0,-856.0,0.25,1.75,----,----,----,116,101,71BC19,----
8136,MLAT,2019-12-21 15:06:44.274552,2019.12.21 15:06:44.274552,8136,15,6,44,37.45477974,126.46036148,-76,89,0.707107,315.0,4312,AAR286,54404,1012,1875.5,-856.5,-0.5,0.5,----,----,----,116,101,71BC19,----
8155,MLAT,2019-12-21 15:06:45.274552,2019.12.21 15:06:45.274552,8155,15,6,45,37.45476902,126.46034002,-76,89,1.346291,248.198591,4312,AAR286,54405,1012,1873.5,-858.0,-1.25,-0.5,----,----,----,116,101,71BC19,----
8174,MLAT,2019-12-21 15:06:45.684728,2019.12.21 15:06:45.684728,8174,15,6,45,37.45477974,126.46035075,-76,95,0.353553,315.0,4312,AAR286,54405,1012,1874.0,-857.0,-0.25,0.25,----,----,----,116,101,71BC19,----
8193,MLAT,2019-12-21 15:06:46.684728,2019.12.21 15:06:46.684728,8193,15,6,46,37.45477974,126.46034539,-76,99,0.559017,296.565051,4312,AAR286,54406,1012,1874.0,-856.5,-0.5,0.25,----,----,----,116,101,71BC19,----
8212,MLAT,2019-12-21 15:06:47.422584,2019.12.21 15:06:47.422584,8212,15,6,47,37.45479047,126.46034002,-76,----,0.901388,326.309932,4312,AAR286,54407,1012,1873.5,-855.5,-0.5,0.75,----,----,----,116,101,71BC19,----
8231,MLAT,2019-12-21 15:06:48.684728,2019.12.21 15:06:48.684728,8231,15,6,48,37.4548173,126.46033466,-76,89,2.061553,345.963757,4312,AAR286,54408,1012,1873.0,-852.5,-0.5,2.0,----,----,----,116,101,71BC19,----
8250,MLAT,2019-12-21 15:06:49.684728,2019.12.21 15:06:49.684728,8250,15,6,49,37.4548173,126.46033466,-76,85,1.030776,345.963757,4312,AAR286,54409,1012,1873.0,-852.0,-0.25,1.0,----,----,----,116,101,71BC19,----
8269,MLAT,2019-12-21 15:06:50.684728,2019.12.21 15:06:50.684728,8269,15,6,50,37.45481193,126.46034002,-76,89,0.25,0.0,4312,AAR286,54410,1012,1873.5,-853.0,0.0,0.25,----,----,----,116,101,71BC19,----
8288,MLAT,2019-12-21 15:06:51.422584,2019.12.21 15:06:51.422584,8288,15,6,51,37.45482266,126.46032393,-76,----,0.901388,303.690068,4312,AAR286,54411,1012,1872.0,-852.0,-0.75,0.5,----,----,----,116,101,71BC19,----
8307,MLAT,2019-12-21 15:06:52.684728,2019.12.21 15:06:52.684728,8307,15,6,52,37.45484948,126.46030784,-76,34,1.414214,315.0,4312,AAR286,54412,1012,1871.0,-848.5,-1.0,1.0,----,----,----,116,101,71BC19,----
8326,MLAT,2019-12-21 15:06:53.684728,2019.12.21 15:06:53.684728,8326,15,6,53,37.45486021,126.4603132,-76,32,1.0,0.0,4312,AAR286,54413,1012,1871.0,-848.0,0.0,1.0,----,----,----,116,101,71BC19,----
8345,MLAT,2019-12-21 15:06:54.684728,2019.12.21 15:06:54.684728,8345,15,6,54,37.45487094,126.46030247,-76,36,1.457738,329.036243,4312,AAR286,54414,1012,1870.0,-846.5,-0.75,1.25,----,----,----,116,101,71BC19,----
8364,MLAT,2019-12-21 15:06:55.422584,2019.12.21 15:06:55.422584,8364,15,6,55,37.45488703,126.46028101,-76,----,1.802776,303.690068,4312,AAR286,54415,1012,1868.0,-845.0,-1.5,1.0,----,----,----,116,101,71BC19,----
8383,MLAT,2019-12-21 15:06:56.684728,2019.12.21 15:06:56.684728,8383,15,6,56,37.45488703,126.46028101,-76,93,0.901388,326.309932,4312,AAR286,54416,1012,1868.5,-844.5,-0.5,0.75,----,----,----,116,101,71BC19,----
