,#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign
1213,MLAT,2019-12-21 15:01:00.684728,2019.12.21 15:01:00.684728,1213,15,1,0,37.42926657,126.48890555,129,310,75.359555,324.042499,3771,JJA8404,54060,224,4402.5,-3687.5,-44.25,61.0,----,----,----,116,101,71C063,----
1235,MLAT,2019-12-21 15:01:02.274552,2019.12.21 15:01:02.274552,1235,15,1,2,37.42981911,126.48842812,121,321,76.147882,325.162083,3771,JJA8404,54062,224,4360.5,-3626.5,-43.5,62.5,----,----,----,116,101,71C063,----
1257,MLAT,2019-12-21 15:01:04.323128,2019.12.21 15:01:04.323128,1257,15,1,4,37.43041992,126.4878273,121,321,80.452237,322.702796,3771,JJA8404,54064,224,4307.0,-3559.0,-48.75,64.0,----,----,----,116,101,71C063,----
1279,MLAT,2019-12-21 15:01:05.323128,2019.12.21 15:01:05.323128,1279,15,1,5,37.43104756,126.48722649,114,280,81.750382,322.954886,3771,JJA8404,54065,224,4254.0,-3490.0,-49.25,65.25,----,----,----,116,101,71C063,----
1301,MLAT,2019-12-21 15:01:06.323128,2019.12.21 15:01:06.323128,1301,15,1,6,37.43159473,126.48673832,114,238,79.600565,322.914165,3771,JJA8404,54066,224,4210.5,-3429.5,-48.0,63.5,----,----,----,116,101,71C063,----
1323,MLAT,2019-12-21 15:01:07.323128,2019.12.21 15:01:07.323128,1323,15,1,7,37.43219018,126.48612678,106,203,82.889233,321.36718,3771,JJA8404,54067,224,4156.5,-3363.0,-51.75,64.75,----,----,----,116,101,71C063,----
1345,MLAT,2019-12-21 15:01:08.323128,2019.12.21 15:01:08.323128,1345,15,1,8,37.43271589,126.48569763,106,184,76.171271,324.484182,3771,JJA8404,54068,224,4118.5,-3304.5,-44.25,62.0,----,----,----,116,101,71C063,----
1367,MLAT,2019-12-21 15:01:09.323128,2019.12.21 15:01:09.323128,1367,15,1,9,37.43323088,126.48522019,99,182,74.404301,323.746162,3771,JJA8404,54069,224,4076.0,-3247.5,-44.0,60.0,----,----,----,116,101,71C063,----
1389,MLAT,2019-12-21 15:01:10.323128,2019.12.21 15:01:10.323128,1389,15,1,10,37.43375659,126.48465157,99,165,75.707496,320.896964,3771,JJA8404,54070,224,4026.0,-3189.0,-47.75,58.75,----,----,----,116,101,71C063,----
1411,MLAT,2019-12-21 15:01:11.323128,2019.12.21 15:01:11.323128,1411,15,1,11,37.43434131,126.48415267,91,133,75.329277,324.727579,3771,JJA8404,54071,224,3981.5,-3124.5,-43.5,61.5,----,----,----,116,101,71C063,----
1433,MLAT,2019-12-21 15:01:12.323128,2019.12.21 15:01:12.323128,1433,15,1,12,37.43486702,126.48363233,83,114,75.651338,322.789285,3771,JJA8404,54072,224,3935.5,-3066.0,-45.75,60.25,----,----,----,116,101,71C063,----
1455,MLAT,2019-12-21 15:01:12.798840,2019.12.21 15:01:12.798840,1455,15,1,12,37.43545175,126.48307443,83,114,79.202273,322.696052,3771,JJA8404,54072,224,3886.0,-3001.0,-48.0,63.0,----,----,----,116,101,71C063,----
1477,MLAT,2019-12-21 15:01:13.798840,2019.12.21 15:01:13.798840,1477,15,1,13,37.43596673,126.48260236,76,148,75.500414,322.940382,3771,JJA8404,54073,224,3844.0,-2944.0,-45.5,60.25,----,----,----,116,101,71C063,----
1499,MLAT,2019-12-21 15:01:14.798840,2019.12.21 15:01:14.798840,1499,15,1,14,37.43649244,126.48213565,68,167,75.125312,324.617475,3771,JJA8404,54074,224,3802.5,-2885.5,-43.5,61.25,----,----,----,116,101,71C063,----
1521,MLAT,2019-12-21 15:01:15.798840,2019.12.21 15:01:15.798840,1521,15,1,15,37.43706107,126.48159921,68,154,77.350259,323.278249,3771,JJA8404,54075,224,3755.0,-2822.5,-46.25,62.0,----,----,----,116,101,71C063,----
1543,MLAT,2019-12-21 15:01:16.798840,2019.12.21 15:01:16.798840,1543,15,1,16,37.43767798,126.48098767,60,129,80.977234,321.644072,3771,JJA8404,54076,224,3701.0,-2754.0,-50.25,63.5,----,----,----,116,101,71C063,----
1565,MLAT,2019-12-21 15:01:17.798840,2019.12.21 15:01:17.798840,1565,15,1,17,37.43827343,126.48048341,60,139,81.065174,325.427775,3771,JJA8404,54077,224,3656.5,-2688.0,-46.0,66.75,----,----,----,116,101,71C063,----
1587,MLAT,2019-12-21 15:01:18.536696,2019.12.21 15:01:18.536696,1587,15,1,18,37.43879914,126.48001671,53,----,74.256734,323.901716,3771,JJA8404,54078,224,3615.5,-2630.0,-43.75,60.0,----,----,----,116,101,71C063,----
1609,MLAT,2019-12-21 15:01:19.798840,2019.12.21 15:01:19.798840,1609,15,1,19,37.43933022,126.47955,45,169,74.202847,325.292638,3771,JJA8404,54079,224,3574.0,-2570.5,-42.25,61.0,----,----,----,116,101,71C063,----
