freetime1,freetime2,freetime3,freetime4,freetime5,freetime6,freetime7,freetime8,freetime9,freetime10,freetime11,freetime12,freetime13,freetime14,freetime15,freetime16,freetime17,freetime18,freetime19,freetime20,freetime21,freetime22,freetime23,freetime24,freetime25,freetime26,freetime27,freetime28,freetime29,freetime30,freetime31,freetime32,freetime33,freetime34,freetime35
0h,0h,0h,0h,0h,0h,0h,9.25,5.25,30.7666666666667,33.0333333333333,29.0166666666667,15.3166666666667,0.816666666666667,17,10,14,12,15,13,7,0.544117647058823,0.525,2.19761904761905,2.75277777777778,1.93444444444444,1.17820512820513,0.116666666666667,1.15376709654587,0.822456798370094,3.27725167028388,2.22323398684649,2.39075988008683,1.69162403634551,0.126564286109939
1h,1h,1h,1h,1h,1h,1h,48.7666666666667,47.0166666666667,49.4833333333333,52.3,47.9833333333333,45.25,41.3333333333333,6,9,7,6,9,7,12,6.96666666666667,5.22407407407407,6.18541666666667,7.47142857142857,4.79833333333333,5.65625,3.44444444444444,6.35345487816581,4.57641228286046,5.80121386791332,8.19690950278368,3.85169074627472,9.81409311200536,4.48608585851478
2h,2h,2h,2h,2h,2h,2h,54.1,52.6833333333333,57.3166666666667,51.85,52.8,55.85,51.3666666666667,5,5,2,5,5,3,6,10.82,8.78055555555556,28.6583333333333,8.64166666666667,8.8,13.9625,7.33809523809524,14.5639604656304,9.11952372456824,12.1504515233888,7.95629555062461,7.82260968106055,8.1523386215245,6.68804014285059
3h,3h,3h,3h,3h,3h,3h,48.4166666666667,55.2833333333333,51.1833333333333,49.35,51.8166666666667,53.3166666666667,57.6666666666667,10,4,7,9,6,5,1,4.40151515151515,11.0566666666667,6.39791666666667,4.935,7.40238095238095,8.88611111111111,28.8333333333333,3.9538269404145,9.29606099377581,5.5826150035425,5.46468714159883,5.67907488367529,6.45750568173421,36.8166930737796
4h,4h,4h,4h,4h,4h,4h,37.0833333333333,37.9166666666667,32.1166666666667,31.7,37.1333333333333,32.45,0,20,19,24,21,21,21,0,1.76587301587302,1.89583333333333,1.28466666666667,1.44090909090909,1.68787878787879,1.475,0,2.63769404863034,2.59107710335983,0.605662324940104,1.3278929412041,1.18318445093123,0.500231427922598,0
5h,5h,5h,5h,5h,5h,5h,34.3833333333333,21.0833333333333,22.3,21.85,21.3,17.5,52,19,26,29,28,30,28,3,1.80964912280702,0.810897435897436,0.768965517241379,0.780357142857143,0.687096774193548,0.625,17.3333333333333,3.62527698298748,0.483527370423555,0.550788110274057,0.861929761055017,0.586115740014676,0.643014057536303,17.1820642919683
6h,6h,6h,6h,6h,6h,6h,44,13.0833333333333,15.6166666666667,21.2166666666667,19.4833333333333,14.7666666666667,42.7833333333333,8,16,20,19,18,16,11,5.5,0.769607843137255,0.743650793650794,1.06083333333333,1.02543859649123,0.922916666666667,3.56527777777778,5.53102361432513,0.735985622550677,0.736215476279348,0.976826150082695,0.932297183137871,0.47496101204516,4.12005110744346
7h,7h,7h,7h,7h,7h,7h,23.5166666666667,8.5,10.1,6.26666666666667,5.58333333333333,8.45,18.9,20,13,15,12,11,13,17,1.17583333333333,0.653846153846154,0.673333333333333,0.522222222222222,0.507575757575757,0.603571428571429,1.11176470588235,1.12331062239523,0.494560871724054,0.695957716285367,0.425828564483368,0.430010570694595,0.748878893459815,1.14904496433576
8h,8h,8h,8h,8h,8h,8h,28.9166666666667,7.78333333333333,6.58333333333333,6.66666666666667,3.45,2.48333333333333,40.2833333333333,17,12,12,13,7,6,12,1.70098039215686,0.648611111111111,0.548611111111111,0.512820512820513,0.492857142857143,0.413888888888889,3.35694444444444,1.86732197006014,0.541390761122645,0.551694283540787,0.353301482196066,0.455811968101486,0.409527731616508,2.69816116145768
9h,9h,9h,9h,9h,9h,9h,36.9,4.88333333333333,5.01666666666667,3.08333333333333,4.5,1.48333333333333,35.25,13,10,13,8,7,5,12,2.63571428571429,0.488333333333333,0.385897435897436,0.385416666666667,0.5625,0.296666666666667,2.9375,2.28370160929423,0.3986125629087,0.397902262906622,0.90914391530173,0.536430737847801,0.317630113321909,3.60197844765536
