,#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign,ops,dir,rwy,dist,ac,rot1,rot2
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,MLAT,2019-12-21 15:41:48.536696,2019.12.21 15:41:48.536696,50746,15,41,48,37.45650172,126.46456182,-83.0,----,71.376642,324.69561,2722,CEB188,56508,724,2247.0,-665.5,-41.25,58.25,----,----,----,116,101,758433,----,arrival,north,33R,16.6,A333,2019-12-21 15:40:32.323128,2019-12-21 15:41:48.536696
0,MLAT,2019-12-21 15:05:04.323128,2019.12.21 15:05:04.323128,6255,15,5,4,37.45732784,126.4638108,-83.0,15,76.205315,323.806793,2672,EVA150,54304,1655,2180.5,-574.0,-45.0,61.5,----,----,----,116,101,899071,----,arrival,north,33R,129.89999999999998,A321,2019-12-21 15:03:50.536696,2019-12-21 15:05:01.798840
0,MLAT,2019-12-21 15:45:01.798840,2019.12.21 15:45:01.798840,53801,15,45,1,37.45668948,126.46440625,-83.0,66,77.950305,325.188628,3253,GEC8384,56701,1380,2233.0,-644.5,-44.5,64.0,----,----,----,116,101,3C70C4,----,arrival,north,33R,41.6,B77L,2019-12-21 15:43:51.323128,2019-12-21 15:45:00.798840
0,MLAT,2019-12-21 15:01:53.684728,2019.12.21 15:01:53.684728,2358,15,1,53,37.45897472,126.46242142,-83.0,62,73.220557,326.418447,3771,JJA8404,54113,224,2057.5,-391.0,-40.5,61.0,----,----,----,116,101,71C063,----,arrival,north,33R,350.3,B738,2019-12-21 15:00:41.323128,2019-12-21 15:01:49.536696
0,MLAT,2019-12-21 15:48:24.323128,2019.12.21 15:48:24.323128,56640,15,48,24,37.45724201,126.46390736,-83.0,57,70.392649,325.124672,3004,KAL854,56904,484,2189.0,-583.5,-40.25,57.75,----,----,----,116,101,71BF02,----,arrival,north,33R,117.2,A333,2019-12-21 15:47:05.798840,2019-12-21 15:48:22.323128
0,MLAT,2019-12-21 15:37:19.536696,2019.12.21 15:37:19.536696,45948,15,37,19,37.45763361,126.46354795,-83.0,----,65.112403,325.638767,4412,MMA801,56239,487,2157.5,-540.0,-36.75,53.75,----,----,----,116,101,704458,----,arrival,north,33R,171.1,A319,2019-12-21 15:35:55.798840,2019-12-21 15:37:16.274552
0,MLAT,2019-12-21 16:22:41.798840,2019.12.21 16:22:41.798840,7904,16,22,41,37.46423185,126.45772219,-83.0,102,67.136056,325.00798,3613,AJX8475,58961,1414,1641.5,192.5,-38.5,55.0,----,----,----,116,101,86D9AE,----,arrival,north,33R,1067.0,B763,2019-12-21 16:21:19.798840,2019-12-21 16:22:27.536696
0,MLAT,2019-12-21 17:01:25.798840,2019.12.21 17:01:25.798840,314,17,1,25,37.45735466,126.46379471,-83.0,66,73.006849,323.914927,1314,SOO7950,61285,1362,2179.0,-570.5,-43.0,59.0,----,----,----,116,101,A98C7A,----,arrival,north,33R,133.20000000000002,B772,2019-12-21 17:00:12.798840,2019-12-21 17:01:23.798840
