,Type,Port,STS,VIS,WD,WS,Temp,Original Message,IssueTime,Pressure,DuePoint,DensityAltitude,Headwind,Crosswind,Wet
0,METAR,RKSI,7,5000,130,6,3,"211500Z 13006KT 5000 BR FEW015 SCT040 BKN200 03/00_x000d_
          Q1024 NOSIG=",2019-12-22 00:00:00,1024.0,0.0,-1701.2325946335066,5.8046680410579246,1.518495615114105,0.0
1,METAR,RKSI,7,5000,140,6,2,"211530Z 14006KT 5000 BR FEW015 SCT040 BKN200 02/M00_x000d_
          Q1024 NOSIG=",2019-12-22 00:30:00,1024.0,0.0,-1826.6654763659906,5.980166086855819,0.4874562273882336,0.0
2,METAR,RKSI,7,5000,130,6,3,"211600Z 13006KT 5000 BR FEW015 SCT040 BKN200 03/00_x000d_
          Q1024 NOSIG=",2019-12-22 01:00:00,1024.0,0.0,-1701.2325946335066,5.8046680410579246,1.518495615114105,0.0
3,METAR,RKSI,0,6000,90,5,3,"211630Z 09005KT 040V130 6000 FEW015 SCT040 BKN200_x000d_
          03/00 Q1024 NOSIG=",2019-12-22 01:30:00,1024.0,0.0,-1701.2325946335066,2.892136275203383,4.078669852495136,0.0
4,METAR,RKSI,0,6000,70,4,2,"211700Z 07004KT 6000 SCT040 BKN200 02/M00 Q1024_x000d_
          NOSIG=",2019-12-22 02:00:00,1024.0,0.0,-1826.6654763659906,1.058185494869913,3.8574918610992452,0.0
5,METAR,RKSI,0,6000,90,3,2,"211730Z 09003KT 6000 SCT040 BKN200 02/M01 Q1024_x000d_
          NOSIG=",2019-12-22 02:30:00,1024.0,-1.0,-1832.1714548547654,1.7352817651220298,2.447201911497082,0.0
6,METAR,RKSI,7,5000,60,5,1,"211800Z 06005KT 5000 BR FEW040 BKN200 01/M01 Q1024_x000d_
          NOSIG=",2019-12-22 03:00:00,1024.0,-1.0,-1958.1733177003034,0.4653285592850648,4.978299843512209,0.0
7,METAR,RKSI,7,5000,60,5,1,"211830Z 06005KT 5000 BR FEW040 BKN200 01/M01 Q1023_x000d_
          NOSIG=",2019-12-22 03:30:00,1023.0,-1.0,-1924.279782554091,0.4653285592850648,4.978299843512209,0.0
8,METAR,RKSI,7,4000,60,5,1,"211900Z 06005KT 4000 BR FEW040 BKN200 01/M01 Q1023_x000d_
          NOSIG=",2019-12-22 04:00:00,1023.0,-1.0,-1924.279782554091,0.4653285592850648,4.978299843512209,0.0
9,METAR,RKSI,7,4000,60,5,1,"211930Z 06005KT 4000 BR FEW040 BKN200 01/M01 Q1023_x000d_
          NOSIG=",2019-12-22 04:30:00,1023.0,-1.0,-1924.279782554091,0.4653285592850648,4.978299843512209,0.0
10,METAR,RKSI,7,4000,110,2,1,"212000Z 11002KT 4000 BR FEW040 BKN200 01/M02 Q1022_x000d_
          NOSIG=",2019-12-22 05:00:00,1022.0,-2.0,-1895.5328193058326,1.6450825454577334,1.137410839859681,0.0
11,METAR,RKSI,7,4500,120,4,1,"212030Z 12004KT 4500 BR FEW040 BKN200 01/M01 Q1022_x000d_
          NOSIG=",2019-12-22 05:30:00,1022.0,-1.0,-1890.3608389261144,3.6351987294241606,1.668930854647061,0.0
12,METAR,RKSI,7,5000,120,3,1,"212100Z 12003KT 5000 BR FEW040 BKN200 01/M01 Q1023_x000d_
          NOSIG=",2019-12-22 06:00:00,1023.0,-1.0,-1924.279782554091,2.7263990470681203,1.2516981409852956,0.0
13,METAR,RKSI,7,5000,110,1,1,"212130Z 11001KT 5000 BR FEW040 SCT150 BKN200 01/M01_x000d_
          Q1023 NOSIG=",2019-12-22 06:30:00,1023.0,-1.0,-1924.279782554091,0.8225412727288667,0.5687054199298405,0.0
14,METAR,RKSI,7,4500,70,2,1,"212200Z 07002KT 4500 BR FEW040 SCT150 BKN200 01/M01_x000d_
          Q1023 NOSIG=",2019-12-22 07:00:00,1023.0,-1.0,-1924.279782554091,0.5290927474349565,1.9287459305496226,0.0
15,METAR,RKSI,7,4500,120,4,1,212230Z 12004KT 4500 BR NSC 01/M01 Q1023 NOSIG=,2019-12-22 07:30:00,1023.0,-1.0,-1924.279782554091,3.6351987294241606,1.668930854647061,0.0
