,#Type,TimeGet,TimeStamp,Index,Hour,Min,Sec,Latitude,Longitude,BAlt,MeasuredFL,GroudSpeed,TrackAngle,Mode3A,ModeSIdent,TimeOfDay,TrackNo,X(m),Y(m),SpeedX(m/s),SpeedY(m/s),VRate(m/s),AccelX(m/s2),AccelY(m/s2),SAC,SIC,CODE,FDPCallSign,ops,dir,rwy,dist,ac,rot1,rot2
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,MLAT,2019-12-21 15:06:05.422584,2019.12.21 15:06:05.422584,7415,15,6,5,37.47207463,126.44499779,-83.0,----,92.593871,324.893921,7416,AAR3233,54365,1015,516.0,1062.5,-53.25,75.75,----,----,----,116,101,71C279,----,departure,north,33L,2428.6,C,2019-12-21 15:04:43.422584,2019-12-21 15:06:20.798840
807,MLAT,2019-12-21 15:13:36.274552,2019.12.21 15:13:36.274552,16325,15,13,36,37.47082472,126.44610822,-83.0,106,87.82511,324.500241,7127,AAR383,54816,931,614.0,923.5,-51.0,71.5,----,----,----,116,101,71BC20,----,departure,north,33L,2258.6,A,2019-12-21 15:11:57.274552,2019-12-21 15:13:52.536696
781,MLAT,2019-12-21 16:12:29.684728,2019.12.21 16:12:29.684728,5080,16,12,29,37.47154891,126.44548595,-83.0,108,87.801267,325.08817,4124,AAR987,58349,237,559.0,1004.5,-50.25,72.0,----,----,----,116,101,71BC23,----,departure,north,33L,2356.0,A,2019-12-21 16:11:13.422584,2019-12-21 16:12:46.798840
974,MLAT,2019-12-21 15:21:00.798840,2019.12.21 15:21:00.798840,26306,15,21,0,37.47142553,126.44560933,-83.0,91,91.880697,325.531623,7447,ABL319,55260,337,570.0,991.0,-52.0,75.75,----,----,----,116,101,71BF29,----,departure,north,33L,2338.6,C,2019-12-21 15:19:56.274552,2019-12-21 15:21:15.798840
2720,MLAT,2019-12-21 15:50:18.684728,2019.12.21 15:50:18.684728,58138,15,50,18,37.46940315,126.44741178,-83.0,104,84.322669,325.508975,4133,APG889,57018,1910,729.5,766.0,-47.75,69.5,----,----,----,116,101,758528,----,departure,north,33L,2063.1,C,2019-12-21 15:48:46.422584,2019-12-21 15:50:39.798840
849,MLAT,2019-12-21 15:29:22.274552,2019.12.21 15:29:22.274552,37132,15,29,22,37.47229993,126.44477785,-83.0,108,92.882318,324.641595,7116,BAV485,55762,610,496.5,1087.5,-53.75,75.75,----,----,----,116,101,888191,----,departure,north,33L,2460.3,C,2019-12-21 15:28:01.422584,2019-12-21 15:29:37.060984
822,MLAT,2019-12-21 15:27:27.798840,2019.12.21 15:27:27.798840,34763,15,27,27,37.4685663,126.44810379,-83.0,114,86.40638,323.826371,7454,CDG4722,55647,461,790.5,673.0,-51.0,69.75,----,----,----,116,101,780FF3,----,departure,north,33L,1951.8999999999999,C,2019-12-21 15:26:21.684728,2019-12-21 15:27:47.798840
26,MLAT,2019-12-21 15:02:21.684728,2019.12.21 15:02:21.684728,2957,15,2,21,37.4697572,126.44701481,-83.0,89,86.168802,324.327054,7425,CES5086,54141,1325,694.5,805.5,-50.25,70.0,----,----,----,116,101,7812A6,----,departure,north,33L,2115.5,C,2019-12-21 15:00:50.012408,2019-12-21 15:02:41.798840
