,Time,total,num,mean,std,2min
0,0,1907 seconds,21.0,91 seconds,228.0358407601792,2.0
1,1,2621 seconds,4.0,655 seconds,387.98928786759046,4.0
2,2,3542 seconds,4.0,885 seconds,926.9197645966991,4.0
3,3,3730 seconds,5.0,746 seconds,433.3612811500354,5.0
4,4,1538 seconds,20.0,77 seconds,37.59640940302677,2.0
5,5,2392 seconds,16.0,149 seconds,211.2717444430277,4.0
6,6,1915 seconds,22.0,87 seconds,59.67143162407046,6.0
7,7,1370 seconds,23.0,59 seconds,50.732740553642245,2.0
8,8,1165 seconds,25.0,47 seconds,31.206409598029698,1.0
9,9,1713 seconds,21.0,81 seconds,71.15413947639203,3.0
10,10,1563 seconds,21.0,74 seconds,41.36431798931403,3.0
11,11,2499 seconds,17.0,147 seconds,142.16891362038328,7.0
12,12,2013 seconds,20.0,101 seconds,80.0389124114015,7.0
13,13,1382 seconds,21.0,66 seconds,57.256830782028224,3.0
14,14,1354 seconds,22.0,61 seconds,42.113188684271165,3.0
15,15,1046 seconds,22.0,47 seconds,75.45240960832515,2.0
16,16,1277 seconds,22.0,58 seconds,70.94907089706689,3.0
17,17,1267 seconds,22.0,57 seconds,89.76619078620003,2.0
18,18,2009 seconds,20.0,100 seconds,94.03694752595918,5.0
19,19,1319 seconds,20.0,66 seconds,50.08540206487316,2.0
20,20,1342 seconds,21.0,64 seconds,122.49466645800378,1.0
21,21,1070 seconds,24.0,44 seconds,25.381943494452027,0.0
22,22,907 seconds,23.0,39 seconds,30.355611309875133,1.0
23,23,1331 seconds,21.0,63 seconds,53.88124171376139,5.0
24,0,1544 seconds,20.0,77 seconds,99.18044162031141,4.0
25,1,3180 seconds,7.0,454 seconds,233.15765009091675,6.0
26,2,4416 seconds,4.0,1104 seconds,1536.9647035634878,3.0
27,3,2045 seconds,4.0,511 seconds,411.2161080259381,3.0
28,4,2427 seconds,17.0,143 seconds,173.64484694908836,4.0
29,5,2738 seconds,9.0,304 seconds,337.95554532702073,4.0
30,6,1844 seconds,18.0,102 seconds,72.8218695953216,7.0
31,7,736 seconds,21.0,35 seconds,22.69356147514761,0.0
32,8,1407 seconds,20.0,70 seconds,58.60825453807681,3.0
33,9,1797 seconds,20.0,90 seconds,74.78587767754016,5.0
34,10,1444 seconds,18.0,80 seconds,63.60866079705704,4.0
35,11,1063 seconds,21.0,50 seconds,37.048843167437106,2.0
36,12,1250 seconds,18.0,69 seconds,70.47712175846871,2.0
37,13,1349 seconds,22.0,61 seconds,47.096020256142054,2.0
38,14,887 seconds,24.0,37 seconds,31.10798285363778,1.0
39,15,843 seconds,23.0,37 seconds,27.494835397488224,0.0
40,16,718 seconds,19.0,38 seconds,30.240403344860233,0.0
41,17,1439 seconds,21.0,68 seconds,59.05898508119541,2.0
42,18,878 seconds,24.0,36 seconds,36.6127444417317,2.0
43,19,845 seconds,23.0,37 seconds,35.00461757279701,1.0
44,20,1107 seconds,18.0,61 seconds,75.90948557327997,3.0
45,21,870 seconds,21.0,41 seconds,23.373919997604634,0.0
46,22,745 seconds,26.0,29 seconds,56.41054341418831,1.0
47,23,1541 seconds,18.0,86 seconds,124.08381526160672,4.0
48,0,3006 seconds,11.0,273 seconds,290.5499772090825,6.0
49,1,2716 seconds,7.0,388 seconds,353.46529431574226,5.0
50,2,4358 seconds,2.0,2179 seconds,960.0,2.0
51,3,2188 seconds,7.0,312 seconds,208.9735848945351,5.0
52,4,2136 seconds,21.0,101 seconds,67.13535925713836,4.0
53,5,2397 seconds,14.0,171 seconds,100.56424994672281,8.0
54,6,1727 seconds,21.0,82 seconds,68.3770392831818,5.0
55,7,1537 seconds,20.0,77 seconds,87.36662692355702,5.0
56,8,1427 seconds,26.0,55 seconds,32.60996417222211,1.0
57,9,2026 seconds,16.0,127 seconds,143.90659948383188,5.0
58,10,1838 seconds,15.0,122 seconds,111.8027230835139,6.0
59,11,1595 seconds,18.0,89 seconds,110.12777371403583,4.0
60,12,1129 seconds,21.0,54 seconds,40.82005198417721,2.0
61,13,1072 seconds,19.0,56 seconds,42.76289068742428,2.0
62,14,1678 seconds,22.0,76 seconds,62.91276920407827,5.0
63,15,1164 seconds,23.0,51 seconds,51.05899327200695,3.0
64,16,2185 seconds,17.0,128 seconds,136.17943078983043,7.0
65,17,1443 seconds,21.0,69 seconds,50.60786957168849,2.0
66,18,1275 seconds,20.0,64 seconds,70.5853207118874,3.0
67,19,1435 seconds,18.0,80 seconds,70.90040397593386,3.0
68,20,943 seconds,22.0,43 seconds,24.88573058555564,0.0
69,21,1428 seconds,21.0,68 seconds,49.902762591721455,3.0
70,22,1114 seconds,24.0,46 seconds,43.4932146687529,3.0
71,23,1144 seconds,27.0,42 seconds,39.212760723602834,2.0
72,0,2309 seconds,14.0,165 seconds,148.78290238067115,7.0
73,1,3611 seconds,4.0,903 seconds,766.5648619001526,3.0
74,2,4155 seconds,3.0,1385 seconds,1012.4844031720521,3.0
75,3,1810 seconds,9.0,201 seconds,142.72074087722223,5.0
76,4,2214 seconds,19.0,116 seconds,93.66309637882306,5.0
77,5,2287 seconds,21.0,109 seconds,104.89400761943992,5.0
78,6,1534 seconds,18.0,85 seconds,53.05506107972019,4.0
79,7,1372 seconds,18.0,76 seconds,91.3786721746112,3.0
80,8,1446 seconds,22.0,66 seconds,45.33930847026654,2.0
81,9,1870 seconds,20.0,93 seconds,105.73433690150046,4.0
82,10,1629 seconds,18.0,90 seconds,90.14571537239027,4.0
83,11,2682 seconds,13.0,206 seconds,200.95172960971522,5.0
84,12,1023 seconds,24.0,43 seconds,36.152238865663634,2.0
85,13,1446 seconds,21.0,69 seconds,46.784496530862214,3.0
86,14,1345 seconds,25.0,54 seconds,34.67217904891471,1.0
87,15,878 seconds,20.0,44 seconds,57.12083682860397,1.0
88,16,885 seconds,23.0,38 seconds,36.015539599284075,1.0
89,17,1685 seconds,17.0,99 seconds,66.98716501552077,6.0
90,18,1439 seconds,20.0,72 seconds,86.51385727153773,4.0
91,19,1452 seconds,24.0,60 seconds,50.97711905028242,3.0
92,20,1069 seconds,18.0,59 seconds,67.961703994798,2.0
93,21,1726 seconds,24.0,72 seconds,48.14034748062747,4.0
94,22,1643 seconds,19.0,86 seconds,77.93611987495551,4.0
95,23,1386 seconds,21.0,66 seconds,61.93621911365948,5.0
96,0,3001 seconds,8.0,375 seconds,369.07635981596,6.0
97,1,2958 seconds,9.0,329 seconds,271.28869411672054,7.0
98,2,4248 seconds,2.0,2124 seconds,1239.0,2.0
99,3,2186 seconds,6.0,364 seconds,261.43174167563427,5.0
100,4,2256 seconds,19.0,119 seconds,137.25613478965568,7.0
101,5,1657 seconds,21.0,79 seconds,56.677790024719286,3.0
102,6,1399 seconds,17.0,82 seconds,69.21472531688644,3.0
103,7,896 seconds,23.0,39 seconds,31.413758078226703,1.0
104,8,1928 seconds,16.0,120 seconds,124.43873994861889,5.0
105,9,1967 seconds,19.0,103 seconds,78.69619693951152,7.0
106,10,1530 seconds,24.0,64 seconds,69.32727337299032,3.0
107,11,1505 seconds,19.0,79 seconds,98.21543396098214,2.0
108,12,1582 seconds,22.0,72 seconds,77.71445933726004,3.0
109,13,1639 seconds,19.0,86 seconds,134.96309129195407,3.0
110,14,1069 seconds,22.0,48 seconds,46.67163737793211,2.0
111,15,969 seconds,23.0,42 seconds,49.07961973899154,2.0
112,16,1653 seconds,20.0,83 seconds,107.78185144076902,3.0
113,17,2557 seconds,13.0,197 seconds,127.8468943790457,7.0
114,18,1775 seconds,15.0,118 seconds,152.84443798261756,4.0
115,19,1027 seconds,22.0,47 seconds,53.87897748543519,1.0
116,20,1039 seconds,21.0,49 seconds,65.18297984656733,2.0
117,21,668 seconds,19.0,35 seconds,34.55318274302861,1.0
118,22,1895 seconds,16.0,118 seconds,159.2603877106608,4.0
119,23,1224 seconds,21.0,58 seconds,56.37640747447368,5.0
120,0,1627 seconds,19.0,86 seconds,112.61869085141184,6.0
121,1,3144 seconds,7.0,449 seconds,767.1757907269697,3.0
122,2,4222 seconds,3.0,1407 seconds,761.675929921789,3.0
123,3,2225 seconds,5.0,445 seconds,309.2927415895821,4.0
124,4,1823 seconds,22.0,83 seconds,41.29857520604781,2.0
125,5,1825 seconds,25.0,73 seconds,38.34788129740677,3.0
126,6,1979 seconds,17.0,116 seconds,67.52433881334885,7.0
127,7,1100 seconds,20.0,55 seconds,55.70457790882182,2.0
128,8,866 seconds,20.0,43 seconds,25.80523202763347,0.0
129,9,1477 seconds,20.0,74 seconds,61.001045073014936,4.0
130,10,1267 seconds,19.0,67 seconds,50.052659250642634,2.0
131,11,1245 seconds,24.0,52 seconds,43.29868406391431,2.0
132,12,1274 seconds,19.0,67 seconds,90.71266010652045,3.0
133,13,1350 seconds,21.0,64 seconds,37.28288622735875,3.0
134,14,1218 seconds,18.0,68 seconds,46.354911042712374,4.0
135,15,961 seconds,23.0,42 seconds,36.35089439930591,2.0
136,16,1146 seconds,15.0,76 seconds,83.13827838807666,3.0
137,17,1288 seconds,18.0,71 seconds,68.4926778099692,3.0
138,18,1098 seconds,20.0,55 seconds,46.69036303135798,2.0
139,19,1107 seconds,24.0,46 seconds,28.640461617555445,0.0
140,20,1171 seconds,19.0,62 seconds,55.1917332924299,3.0
141,21,944 seconds,25.0,38 seconds,29.069957000312197,0.0
142,22,575 seconds,21.0,27 seconds,16.67469194539806,0.0
143,23,783 seconds,24.0,33 seconds,32.668553304362895,1.0
144,0,494 seconds,19.0,26 seconds,49.78902859487271,1.0
145,1,2893 seconds,11.0,263 seconds,174.21199207235472,8.0
146,2,3370 seconds,6.0,561 seconds,369.79438731393543,5.0
147,3,2443 seconds,6.0,407 seconds,216.57594254415446,5.0
148,4,2783 seconds,12.0,232 seconds,229.02745771825897,8.0
149,5,2148 seconds,15.0,143 seconds,117.8276707738891,5.0
150,6,2123 seconds,17.0,125 seconds,106.82249286877256,7.0
151,7,1245 seconds,22.0,57 seconds,38.45854804013501,2.0
152,8,1132 seconds,21.0,54 seconds,53.70812190234029,2.0
153,9,1539 seconds,19.0,81 seconds,73.4173362575754,5.0
154,10,1847 seconds,18.0,103 seconds,77.53288828253528,5.0
155,11,1268 seconds,26.0,49 seconds,43.35480426958975,2.0
156,12,1714 seconds,21.0,82 seconds,53.62433366483664,4.0
157,13,1007 seconds,22.0,46 seconds,41.60739861893207,1.0
158,14,895 seconds,20.0,45 seconds,35.25319134489812,1.0
159,15,1186 seconds,15.0,79 seconds,66.42435965484015,3.0
160,16,972 seconds,23.0,42 seconds,30.357604005965072,1.0
161,17,2007 seconds,17.0,118 seconds,105.03303154847515,6.0
162,18,1212 seconds,23.0,53 seconds,28.636302261000196,0.0
163,19,1379 seconds,20.0,69 seconds,54.80463027883685,5.0
164,20,931 seconds,21.0,44 seconds,30.382221200553545,2.0
165,21,1978 seconds,16.0,123 seconds,141.4681390808545,5.0
166,22,1004 seconds,23.0,44 seconds,46.67240940450716,1.0
167,23,0,0.0,,,0.0
